FIPS,county,census_2010_count,july1_2013_pop_est,jan1_2014_pop_est,num_chg_10_13,num_chg_10_14,pct_chg_10_13,pct_chg_10_14
487,Wilbarger,13535,13183,12995,-352,-540,-2.6,-4.0
489,Willacy,22134,22023,21929,-111,-205,-0.5,-0.9
491,Williamson,422679,463178,469417,40499,46738,9.6,11.1
493,Wilson,42918,45680,45787,2762,2869,6.4,6.7
495,Winkler,7110,7516,7684,406,574,5.7,8.1
497,Wise,59127,61558,61924,2431,2797,4.1,4.7
499,Wood,41964,43106,43507,1142,1543,2.7,3.7
501,Yoakum,7879,8184,8274,305,395,3.9,5.0
503,Young,18550,19062,19137,512,587,2.8,3.2
505,Zapata,14018,14354,14278,336,260,2.4,1.9
507,Zavala,11677,12113,12176,436,499,3.7,4.3
509,State of Texas,25145565,26448193,26642612,1302628,1497047,5.2,6.0
